3327:0.0167386 3216:0.0130677 2133:0.0127561 1964:0.0108638 2008:0.00991303 
3327:0.0198092 731:0.0110067 2073:0.00996955 2462:0.00764643 2071:0.00425868 
284:0.0470101 3327:0.0353455 301:0.0142573 288:0.0121773 300:0.00974242 
3327:0.019288 253:0.0100533 3191:0.00566753 3194:0.00509818 1375:0.00480454 
3327:0.0183741 2818:0.0163873 769:0.0138764 1584:0.00922756 3350:0.00795173 
3327:0.061484 2507:0.0363657 1496:0.0290802 164:0.0256473 2531:0.00838587 
3327:0.0186688 746:0.004199 2158:0.00362928 3065:0.00358628 732:0.00191344 
3327:0.0359818 2788:0.0163121 1627:0.0127849 769:0.0102938 2417:0.00680748 
3327:0.0147217 176:0.00942834 2417:0.00877497 2739:0.00736604 1905:0.00687817 
3327:0.0177919 763:0.0137089 1347:0.0117828 2911:0.0100952 679:0.00962806 
3327:0.0182304 2447:0.0171543 2227:0.00858619 2228:0.00823999 2710:0.00571279 
3327:0.0469016 2788:0.0174066 2447:0.00438619 2797:0.00400243 2203:0.00373211 
3327:0.0174851 3194:0.006972 1374:0.00559476 1375:0.00530413 3191:0.00514373 
636:0.0696104 3327:0.0527392 2984:0.0234174 1849:0.0174802 3063:0.0132331 
2203:0.0512094 3327:0.0331657 284:0.0152181 2417:0.0104275 1152:0.00720947 
1958:0.0706819 1906:0.067029 2710:0.0604184 1205:0.0572364 1922:0.0475365 
1905:0.0353337 3327:0.0326956 1958:0.0230824 3373:0.0213616 1976:0.0149835 
3327:0.0167634 2098:0.0151184 2417:0.00681675 2462:0.00243842 2447:0.00211344 
3327:0.030276 3168:0.028181 1169:0.0251765 3132:0.0247256 1969:0.0230839 
3327:0.03912 2203:0.0295619 336:0.0203303 1026:0.0135213 3342:0.00835248 
3327:0.0210081 176:0.0110468 769:0.00932481 2447:0.00581511 2609:0.00296943 
1594:0.0313805 1106:0.0256878 3327:0.0254605 2609:0.010597 2095:0.00653699 
3327:0.0339858 1376:0.022474 1954:0.0155476 1627:0.00884054 1594:0.00821061 
3327:0.0338416 1905:0.0228441 1958:0.0167711 1461:0.0105243 1205:0.00813184 
3327:0.0353794 2573:0.0249443 1905:0.0188141 1845:0.0110303 1906:0.00832037 
2133:0.0354338 934:0.026165 950:0.0107564 3327:0.0101718 2818:0.00997482 
2910:0.0240778 3327:0.0227788 2898:0.0212912 2609:0.0193427 1697:0.0168241 
2582:0.0272032 2580:0.0237384 2489:0.0231483 3363:0.0157072 2578:0.0140511 
3327:0.0350521 2203:0.0211365 3361:0.00822924 1627:0.00750365 211:0.00745601 
1330:0.0267779 2187:0.0248328 3327:0.0238343 1335:0.0186447 2186:0.0176886 
2573:0.0376443 3327:0.0251625 1905:0.0219514 1966:0.0172869 576:0.0100121 
3327:0.0256735 2075:0.0117705 2073:0.00500226 2552:0.00271207 2180:0.00125164 
2447:0.0256072 1976:0.0154997 483:0.0105208 2849:0.0101027 1862:0.00708546 
3327:0.0166521 3096:0.00562139 953:0.00106086 2573:0.00102469 1781:0.000923685 
1192:0.0620399 253:0.054637 2203:0.0466793 3327:0.0250385 2008:0.0202946 
537:0.0163975 3327:0.0143583 1212:0.0101384 1205:0.00501381 1211:0.00332466 
1376:0.0264068 3327:0.0229224 825:0.00909347 2935:0.00824255 1642:0.00454392 
268:0.011525 3327:0.0106144 339:0.00766806 284:0.00714965 1627:0.0068792 
873:0.0266496 650:0.0191918 3327:0.0183543 3111:0.0144397 224:0.0132063 
3327:0.0284668 444:0.0195861 1197:0.0142651 601:0.0107776 1436:0.0100453 
3327:0.022708 2417:0.00742596 1152:0.00521798 1912:0.00342043 3253:0.00313745 
1205:0.0363202 1627:0.0252479 673:0.0105095 2710:0.0104492 30:0.00930372 
2447:0.02553 2788:0.0247533 3327:0.0223369 2071:0.0204613 2387:0.0188232 
1330:0.0265437 2187:0.0239475 3327:0.0238172 1335:0.0214526 2186:0.0205036 
290:0.014099 2033:0.0128731 3327:0.0105629 994:0.00608793 1215:0.00505426 
3327:0.0203323 3361:0.0016988 284:0.0012151 1318:0.00115694 953:0.00106086 
3327:0.0230295 1973:0.0147089 1152:0.0147007 1205:0.0144554 1877:0.0131334 
2614:0.0655779 3327:0.0328828 2203:0.0210368 2496:0.016339 284:0.0115132 
863:0.0514099 379:0.0288401 2168:0.0238409 3327:0.0197673 958:0.0153838 
2203:0.0303391 3327:0.0200497 3187:0.0181648 492:0.00577645 3072:0.0031345 
3327:0.0192771 2573:0.0144474 2203:0.00206896 2075:0.00205829 1967:0.00154742 
3327:0.0187648 2573:0.0165691 934:0.00842703 929:0.00588116 3363:0.00259019 
3327:0.0351973 2203:0.008827 1594:0.00347635 3157:0.00288597 223:0.00244375 
3327:0.0632626 3187:0.0326879 2456:0.0146069 2454:0.0110765 2455:0.00970576 
3327:0.0221347 2759:0.0109042 2685:0.00848346 2910:0.0071322 1152:0.00377952 
1318:0.0047935 1335:0.00416767 2797:0.00383758 3373:0.00355179 2417:0.00246004 
3327:0.0185675 1141:0.00316867 1215:0.00297382 3373:0.00279025 124:0.00210973 
3327:0.0220009 3168:0.0112136 284:0.0103083 2417:0.00358655 2456:0.00165305 
1034:0.0339547 2064:0.0299899 2818:0.02963 3136:0.0269569 1873:0.0267217 
3327:0.0317098 1627:0.00625796 2710:0.00567481 1912:0.00527902 2417:0.00497334 
3327:0.0110669 2573:0.0100842 2788:0.00963195 2104:0.00170863 2818:0.00155575 
3327:0.0303255 3253:0.0270234 1114:0.0157501 1326:0.0127684 2133:0.0105975 
3327:0.017373 2447:0.0112787 1905:0.00659544 2609:0.00407281 3361:0.0035831 
3327:0.0209941 2447:0.011646 2417:0.00170072 953:0.00106086 2227:0.000970414 
537:0.0610374 1987:0.0235839 3327:0.0178443 2071:0.00776525 969:0.00774743 
3327:0.0271586 3350:0.0263589 3194:0.0167019 994:0.0149503 1374:0.0130713 
3327:0.0398841 3168:0.0169152 1496:0.0158125 1627:0.00801357 2818:0.00739625 
3327:0.0164278 3168:0.0108045 1496:0.00966023 1215:0.00634161 2818:0.00486487 
1141:0.0314152 3327:0.0120826 3022:0.00729874 1139:0.00588181 1922:0.00364703 
3327:0.0163418 1215:0.0139871 537:0.00942346 2417:0.00755473 1554:0.00441561 
3327:0.0315338 3321:0.0127505 1781:0.00876423 1214:0.00726377 228:0.00710893 
2573:0.0365767 3327:0.0290749 190:0.0180628 191:0.00747621 907:0.00654539 
1905:0.0385483 3327:0.0348707 3373:0.0330938 1976:0.0260714 1958:0.0158181 
323:0.0359219 3327:0.0359096 2933:0.0346588 2788:0.0150049 2462:0.00750219 
3327:0.0280515 1627:0.00634273 268:0.00511671 1496:0.00376763 3168:0.00371694 
3327:0.0256417 1262:0.0190839 2891:0.0059295 3096:0.00587364 2788:0.00534321 
3327:0.0279761 1594:0.0177229 2098:0.0093884 2883:0.00936572 2095:0.00841887 
2071:0.0267406 2073:0.0203766 3327:0.0190907 2075:0.0122733 2788:0.00976787 
3327:0.0149835 2573:0.00305737 2039:0.00303551 2481:0.00302679 2033:0.00283514 
2456:0.0193542 3327:0.0153954 2417:0.00734114 2454:0.00718845 284:0.00381005 
2696:0.0465963 2447:0.0224945 2788:0.0160224 1262:0.0158406 483:0.00981424 
3327:0.0241963 2417:0.00504595 3373:0.00382876 2047:0.00131341 3187:0.00122803 
3327:0.0195017 1922:0.0102341 2417:0.00478387 1152:0.00309375 1746:0.00222313 
3327:0.0239934 2573:0.0195639 1905:0.0118184 2479:0.00798999 756:0.00493337 
3327:0.0249364 3083:0.00961951 2710:0.00562399 2462:0.00498844 2203:0.00474291 
3327:0.0181998 284:0.014498 2417:0.00349855 433:0.00181844 2047:0.00175967 
3327:0.0188087 2507:0.00722816 2506:0.00371098 1912:0.00320442 1627:0.00303742 
3327:0.0401814 1627:0.0225244 3168:0.0111023 3083:0.00686853 268:0.00543441 
3327:0.0183675 3096:0.017358 2071:0.0116027 2075:0.00898037 1030:0.00692313 
3327:0.0273753 1262:0.00936814 2203:0.00703637 1497:0.0047779 1627:0.00474847 
3327:0.0239994 843:0.0191641 3342:0.0103441 2710:0.0083047 934:0.00431698 
3327:0.0243216 2447:0.00455682 2785:0.00410471 2881:0.00369282 2577:0.00331968 
